instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,65536,22978,19799,9685,6583,6491,828,18971,365,9320,2,6581,21728,31,0.021061341
1,RedBlackBST,65536,22978,19799,9685,6583,6491,828,18971,365,9320,2,6581,21728,20,0.022710524
2,BST,65536,22926,19794,9813,6495,6508,807,18987,381,9432,3,6492,21681,33,0.020401483
2,RedBlackBST,65536,22926,19794,9813,6495,6508,807,18987,381,9432,3,6492,21681,19,0.018933677
3,BST,65536,22904,19811,9767,6560,6494,850,18961,343,9424,2,6558,21679,34,0.01986561
3,RedBlackBST,65536,22904,19811,9767,6560,6494,850,18961,343,9424,2,6558,21679,20,0.020574109
4,BST,65536,22757,19674,9961,6657,6487,829,18845,381,9580,0,6657,21499,31,0.022338905
4,RedBlackBST,65536,22757,19674,9961,6657,6487,829,18845,381,9580,0,6657,21499,19,0.01870532
5,BST,65536,22956,19518,9822,6606,6634,888,18630,381,9441,1,6605,21685,34,0.021855109
5,RedBlackBST,65536,22956,19518,9822,6606,6634,888,18630,381,9441,1,6605,21685,19,0.020764731
6,BST,65536,22957,19704,9839,6488,6548,780,18924,380,9459,2,6486,21757,31,0.020487542
6,RedBlackBST,65536,22957,19704,9839,6488,6548,780,18924,380,9459,2,6486,21757,19,0.019308724
7,BST,65536,22970,19577,9863,6631,6495,846,18731,402,9461,1,6630,21730,32,0.023600884
7,RedBlackBST,65536,22970,19577,9863,6631,6495,846,18731,402,9461,1,6630,21730,19,0.021811152
8,BST,65536,22771,19613,9827,6550,6775,866,18747,385,9442,2,6548,21545,37,0.022277491
8,RedBlackBST,65536,22771,19613,9827,6550,6775,866,18747,385,9442,2,6548,21545,19,0.024459628
9,BST,65536,23112,19542,9785,6540,6557,849,18693,343,9442,1,6539,21821,34,0.025331429
9,RedBlackBST,65536,23112,19542,9785,6540,6557,849,18693,343,9442,1,6539,21821,19,0.024219772
10,BST,65536,22774,19832,9804,6656,6470,772,19060,358,9446,1,6655,21570,30,0.024755727
10,RedBlackBST,65536,22774,19832,9804,6656,6470,772,19060,358,9446,1,6655,21570,19,0.024989523
11,BST,65536,22825,19535,9854,6731,6591,855,18680,381,9473,1,6730,21617,30,0.028230265
11,RedBlackBST,65536,22825,19535,9854,6731,6591,855,18680,381,9473,1,6730,21617,19,0.028094516
12,BST,65536,22872,19506,9913,6634,6611,820,18686,352,9561,1,6633,21649,35,0.019095518
12,RedBlackBST,65536,22872,19506,9913,6634,6611,820,18686,352,9561,1,6633,21649,19,0.018892827
13,BST,65536,22907,19713,9816,6571,6529,795,18918,374,9442,4,6567,21666,33,0.023469068
13,RedBlackBST,65536,22907,19713,9816,6571,6529,795,18918,374,9442,4,6567,21666,19,0.023172149
14,BST,65536,23086,19695,9791,6398,6566,805,18890,398,9393,1,6397,21830,33,0.024557537
14,RedBlackBST,65536,23086,19695,9791,6398,6566,805,18890,398,9393,1,6397,21830,19,0.018761874
15,BST,65536,22900,19659,9821,6455,6701,832,18827,373,9448,3,6452,21644,33,0.020578746
15,RedBlackBST,65536,22900,19659,9821,6455,6701,832,18827,373,9448,3,6452,21644,20,0.021132907
16,BST,65536,22925,19801,9841,6421,6548,848,18953,371,9470,1,6420,21673,34,0.021287827
16,RedBlackBST,65536,22925,19801,9841,6421,6548,848,18953,371,9470,1,6420,21673,19,0.019976234
17,BST,65536,22932,19669,9798,6519,6618,796,18873,364,9434,0,6519,21707,33,0.020865812
17,RedBlackBST,65536,22932,19669,9798,6519,6618,796,18873,364,9434,0,6519,21707,20,0.018762705
18,BST,65536,23079,19531,9876,6499,6551,835,18696,337,9539,2,6497,21864,32,0.025421828
18,RedBlackBST,65536,23079,19531,9876,6499,6551,835,18696,337,9539,2,6497,21864,19,0.024181993
19,BST,65536,23033,19536,9800,6507,6660,835,18701,363,9437,0,6507,21785,32,0.021382267
19,RedBlackBST,65536,23033,19536,9800,6507,6660,835,18701,363,9437,0,6507,21785,19,0.02107347
20,BST,65536,23036,19558,9871,6560,6511,794,18764,379,9492,1,6559,21750,30,0.024075175
20,RedBlackBST,65536,23036,19558,9871,6560,6511,794,18764,379,9492,1,6559,21750,20,0.025890259
21,BST,65536,22840,19694,9895,6521,6586,836,18858,368,9527,3,6518,21614,33,0.022799457
21,RedBlackBST,65536,22840,19694,9895,6521,6586,836,18858,368,9527,3,6518,21614,18,0.020434783
22,BST,65536,22994,19718,9761,6503,6560,829,18889,365,9396,2,6501,21691,31,0.018608897
22,RedBlackBST,65536,22994,19718,9761,6503,6560,829,18889,365,9396,2,6501,21691,18,0.01938692
23,BST,65536,23028,19579,9750,6551,6628,825,18754,383,9367,2,6549,21727,33,0.019260212
23,RedBlackBST,65536,23028,19579,9750,6551,6628,825,18754,383,9367,2,6549,21727,20,0.021885052
24,BST,65536,22902,19654,9881,6609,6490,853,18801,364,9517,2,6607,21681,32,0.019840479
24,RedBlackBST,65536,22902,19654,9881,6609,6490,853,18801,364,9517,2,6607,21681,20,0.020340395
25,BST,65536,22880,19657,9933,6649,6417,800,18857,344,9589,2,6647,21639,33,0.020168679
25,RedBlackBST,65536,22880,19657,9933,6649,6417,800,18857,344,9589,2,6647,21639,19,0.020702399
26,BST,65536,22747,19782,9845,6649,6513,792,18990,349,9496,3,6646,21496,34,0.020849396
26,RedBlackBST,65536,22747,19782,9845,6649,6513,792,18990,349,9496,3,6646,21496,19,0.023318555
27,BST,65536,22738,19672,10049,6547,6530,810,18862,357,9692,3,6544,21475,35,0.029581515
27,RedBlackBST,65536,22738,19672,10049,6547,6530,810,18862,357,9692,3,6544,21475,19,0.028895317
28,BST,65536,22941,19460,9862,6703,6570,867,18593,368,9494,2,6701,21653,35,0.02973936
28,RedBlackBST,65536,22941,19460,9862,6703,6570,867,18593,368,9494,2,6701,21653,19,0.020295494
29,BST,65536,22934,19684,9864,6533,6521,835,18849,407,9457,4,6529,21690,32,0.021747829
29,RedBlackBST,65536,22934,19684,9864,6533,6521,835,18849,407,9457,4,6529,21690,20,0.024290997
30,BST,65536,22913,19692,9829,6574,6528,790,18902,371,9458,1,6573,21647,35,0.022130976
30,RedBlackBST,65536,22913,19692,9829,6574,6528,790,18902,371,9458,1,6573,21647,19,0.023487607
